"name","address","city","state","zipcode","county","latitude","longitude","adp","month","year","fiscalyear","inspectionmonth","inspectionyear","administrativesegregation","calculatedforce","chemicalforce","detainee_detainee_physassault_noseriousinj","detainee_detainee_physassault_seriousinj","detainee_staff_physassault_noseriousinj","detainee_staff_physassault_seriousinj","disciplinaryappeals","disciplinaryappeals_detaineefavor","disciplinaryinfractions","disciplinaryinfractions_guilty","disciplinarysegregation","force_seriousinjury","hungerstrikes","immediateforce","infectiousdiseasesconfirmed","infectiousdiseasesreported","medicalobservation","medicalsegregation","mentalhealthobservation","mentalhealthsegregation","nonlethalweaponsincidents","offsiteemergencycare","offsitemedicalcare","offsitementalhealthcare","outsidemedicalreferrals","pointrestraints","sanctionsover60days","sexual_detaineedetainee","sexual_detaineedetainee_sub","sexual_detaineeinmate","sexual_detaineeinmate_sub","sexual_detaineestaff","sexual_detaineestaff_sub","sexual_inmatedetainee","sexual_inmatedetainee_sub","sexual_staffdetainee","sexual_staffdetainee_sub","sickcallencounters","sickcallrequests","stripsearches","suicideattempts","suicideconstantmentalhealthwatch","disciplinary_filed","disciplinary_sub","food_filed","food_sub","force_filed","force_sub","library_filed","library_sub","mail_filed","mail_sub","medical_filed","medical_sub","other_filed","other_sub","prop_filed","prop_sub","safety_filed","safety_sub","sanitation_filed","sanitation_sub","sexualassault_sub","sexualassult_filed","solitary_filed","solitary_sub","staffconduct_filed","staffconduct_sub","visitation_filed","visitation_sub"
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,227.773874317714,2,2021,2021,12,2021,6,0,0,1,0,0,0,1,0,3,3,3,0,0,0,2,2,8,0,4,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,133,133,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,943.137619755035,3,2020,2020,12,2020,27,0,0,4,0,0,0,2,0,18,18,17,0,2,0,21,21,24,1,5,0,0,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,786,877,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,181.770436129786,3,2021,2021,12,2021,15,0,0,1,0,0,0,0,0,3,3,3,0,1,0,112,112,19,0,3,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,271,271,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,853.877101286572,5,2020,2020,12,2020,28,0,0,3,0,0,0,0,0,9,9,9,0,1,0,20,20,30,14,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,791,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,820.639109691858,6,2020,2020,12,2020,41,0,0,6,0,0,0,2,0,22,22,19,0,0,0,27,27,14,15,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,754,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,1102.79427370354,6,2021,2021,12,2021,3,0,0,1,0,0,0,0,0,2,2,0,0,0,0,55,55,85,0,3,0,0,13,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,320,320,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,741.102805796742,7,2020,2020,12,2020,33,0,0,3,0,0,0,3,0,0,0,11,0,0,0,18,18,17,19,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,660,678,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,1176.62669270759,7,2021,2021,12,2021,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,29,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,1150.27749360329,8,2021,2021,12,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,101,30,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,302,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMS COUNTY DET CENTER","20 HOBO FORK RD.","Natchez","MS",39120,"Adams",31.555506,-91.218611,623.956914148857,4,2021,2021,12,2021,22,0,0,3,0,0,0,0,0,5,4,4,0,1,0,228,228,134,0,0,0,0,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,254,254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
